,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,sy_dist,sy_gaiamag,calc_temp,distance,have_life
605,HD 140901 b,HD 140901,1,2,Radial Velocity,2022,9.02377598,0.084501,3.93,0.35,14.64775,0.04609,Msini,1.33,0.472252,,,0,G6IV,5610.0,0.95,0.99,-0.102,4.46,15.2528,5.83135,558.5677240070243,0.09503024490517926,No
606,HD 140901 c,HD 140901,1,2,Radial Velocity,2022,7417.50547213,7.343138,12.8,1.14,1685.33019,5.30264,Mass,4.42,0.607482,,,0,G6IV,5610.0,0.95,0.99,-0.102,4.46,15.2528,5.83135,-183.92921588755883,8.258129519325548,No
607,HD 141004 b,HD 141004,1,1,Radial Velocity,2021,15.5083,0.1238,3.77,0.336,13.63484,0.0429,Msini,1.4,0.16,,,0,G0Vvar,5885.38,1.39,1.05,0.346,4.17,11.8148,4.27965,598.8245382315914,0.0831228919922329,No
608,HD 141399 b,HD 141399,1,4,Radial Velocity,2014,94.44,0.415,14.3,1.28,143.34133,0.451,Msini,0.269,0.04,,,0,K0,5600.0,1.39,1.07,0.201,4.28,37.0169,7.00926,180.01211552891925,0.32926691656250684,No
609,HD 141399 c,HD 141399,1,4,Radial Velocity,2014,201.99,0.689,13.6,1.22,422.7139,1.33,Msini,0.923,0.048,,,0,K0,5600.0,1.39,1.07,0.201,4.28,37.0169,7.00926,78.54648917785067,0.546662422919439,No
610,HD 141399 d,HD 141399,1,4,Radial Velocity,2014,1069.8,2.09,13.7,1.22,375.0394,1.18,Msini,0.801,0.074,,,0,K0,5600.0,1.39,1.07,0.201,4.28,37.0169,7.00926,-71.21830028090193,1.658235796664191,No
611,HD 141399 e,HD 141399,1,4,Radial Velocity,2014,5000.0,5.0,14.1,1.25,209.7678,0.66,Msini,0.411,0.26,,,0,K0,5600.0,1.39,1.07,0.201,4.28,37.0169,7.00926,-142.59526073365402,3.9670712838856246,No
612,HD 141937 b,HD 141937,1,1,Radial Velocity,2002,653.21997,1.5,12.5,1.11,3079.7727,9.69,Msini,8.66,0.41,,,0,G2/G3 V,5870.0,1.03,1.09,0.022,4.45,33.3622,7.09149,-58.073331420506605,1.4624844565760804,No
613,HD 142 A d,HD 142,2,3,Radial Velocity,2022,108.45298959,0.474065,10.8,0.964,81.62789,0.25683,Msini,0.356,0.129711,,,0,F7V,6273.0,1.41,1.21,0.474,4.26,26.1853,5.58442,205.20257296933704,0.2746868649716094,No
614,HD 142 b,HD 142,2,3,Radial Velocity,2001,351.43394308,1.038376,13.7,1.22,395.51812,1.24444,Msini,0.845,0.157528,,,0,G1 IV,6245.0,1.47,1.21,0.474,4.62,26.1853,5.58442,55.39586529596096,0.601664852080959,No
615,HD 142 c,HD 142,2,3,Radial Velocity,2012,10159.64279484,9.815941,12.4,1.11,3521.33769,11.07937,Mass,10.1,0.276797,,,0,F7V,6245.0,1.47,1.21,0.474,4.62,26.1853,5.58442,-166.29192231454255,5.687637897833175,No
616,HD 142022 A b,HD 142022 A,2,1,Radial Velocity,2005,1928.0,2.93,12.9,1.15,1411.1652,4.44,Msini,3.61,0.53,,,0,K0,5421.0,1.04,0.9,0.004,4.35,34.2802,7.51423,-130.34464816497663,2.916537872839974,No
617,HD 142245 b,HD 142245,3,1,Radial Velocity,2011,1299.0,2.78,13.1,1.17,975.7381,3.07,Msini,2.39,0.0,,,0,K0,4922.0,4.63,3.5,1.13,3.65,97.2305,7.18949,7.711314238513523,0.7569109636456597,No
618,HD 142415 b,HD 142415,1,1,Radial Velocity,2003,386.29999,1.06,13.5,1.2,530.7761,1.67,Msini,1.19,0.5,,,0,G1 V,5940.0,1.04,1.07,0.06,4.44,35.5318,7.17789,-12.9948672283561,0.9892495588448106,No
619,HD 143105 b,HD 143105,1,1,Radial Velocity,2016,2.1974,0.0379,13.7,1.22,384.5743,1.21,Msini,0.822,0.07,,,0,F5,6380.0,1.65,1.51,0.556,4.37,46.7789,6.62583,1588.1880810141674,0.019982011747924983,No
620,HD 143361 b,HD 143361,1,1,Radial Velocity,2008,1039.15,1.988,13.1,1.16,1122.57556,3.532,Msini,2.74,0.197,,,0,G6 V,5507.0,0.92,0.97,-0.092,4.47,68.5146,9.01602,-107.50321280908832,2.2101226738358033,No
621,HD 144899 b,HD 144899,1,1,Radial Velocity,2022,40.43913587,0.242129,4.78,0.426,20.42286,0.06426,Msini,1.03,0.820894,,,0,,6126.0,1.65,1.16,0.537,4.07,115.665,8.81343,433.9450177593619,0.13048085937038859,No
622,HD 145377 b,HD 145377,1,1,Radial Velocity,2008,103.95,0.45,12.8,1.14,1913.3366,6.02,Msini,5.01,0.31,,,0,G3 V,6014.0,1.05,1.2,0.193,4.47,53.4884,7.96999,133.0444949357663,0.36034003282801547,No
623,HD 145457 b,HD 145457,1,1,Radial Velocity,2010,176.3,0.76,13.3,1.19,708.7609,2.23,Msini,1.66,0.11,,,0,K0,4769.0,10.52,1.23,1.655,2.48,135.292,6.28309,511.38191045934,0.11306120043004214,No
624,HD 145675 c,14 Her,1,2,Radial Velocity,2021,15732.45889178,11.938641,12.9,1.15,1582.94652,4.98051,Mass,4.05,0.392756,,,0,K0V,5314.94,1.0,0.91,-0.151,4.43,17.9323,6.383,-205.1352452383095,14.205446635034557,No
625,HD 145934 b,HD 145934,1,1,Radial Velocity,2015,2751.53433458,4.888326,13.3,1.18,762.59821,2.3994,Mass,1.78,0.077973,,,0,K0,4823.75,6.93,2.06,1.355,3.01,227.881,8.24065,-19.19688448987452,1.0272121817733213,No
626,HD 1461 b,HD 1461,1,2,Radial Velocity,2010,5.77152,0.0634,2.42,0.216,6.44,0.02026,Msini,2.5,0.172,,,0,G0 V,5765.0,1.15,1.02,0.095,4.38,23.4534,6.29454,812.4899582588595,0.056831518189226826,No
627,HD 1461 c,HD 1461,1,2,Radial Velocity,2015,13.5052,0.1117,2.23,0.199,5.59,0.01759,Msini,2.77,0.305,,,0,G0 V,5765.0,1.15,1.02,0.097,4.38,23.4534,6.29454,544.7568812836334,0.09989716721686677,No
628,HD 147018 b,HD 147018,1,2,Radial Velocity,2009,44.236,0.2388,13.4,1.19,674.0,2.12,Msini,1.54,0.4686,,,0,G9 V,5441.0,0.94,0.93,-0.148,4.42,40.4256,8.11145,204.1678857512008,0.28316157706231787,No
629,HD 147018 c,HD 147018,1,2,Radial Velocity,2009,1008.0,1.922,12.7,1.13,2080.0,6.56,Msini,5.58,0.133,,,0,G9 V,5441.0,0.94,0.93,-0.148,4.42,40.4256,8.11145,-104.9026711923477,2.2790475339772818,No
630,HD 147379 b,HD 147379,2,1,Radial Velocity,2017,86.78,0.323,5.82,0.519,28.55,0.08983,Msini,0.796,0.07,,,0,M1,4156.0,0.63,0.6,-0.971,4.65,10.7643,7.90052,-16.508568370972057,0.987876199622908,No
631,HD 147513 b,HD 147513,2,1,Radial Velocity,2003,528.4,1.32,13.7,1.22,385.0,1.21,Msini,0.823,0.26,,,0,G3/5V,5883.0,0.98,1.11,-0.01,4.51,12.9032,5.22664,-49.01631191773427,1.335284879623066,No
632,HD 14787 b,HD 14787,1,1,Radial Velocity,2018,676.6,1.7,13.7,1.23,356.28743,1.121,Msini,0.761,0.155,,,0,G5,4946.0,5.01,1.43,1.115,3.23,119.137,7.37839,102.28151940533633,0.47092193665783466,No
633,HD 147873 b,HD 147873,2,2,Radial Velocity,2016,116.596,0.522,12.8,1.15,1633.6462,5.14,Msini,4.28,0.207,,,0,G1 V,5972.0,2.29,1.38,0.777,3.86,109.055,7.81828,279.9256081134141,0.2133882506020045,No
634,HD 147873 c,HD 147873,2,2,Radial Velocity,2016,491.54,1.36,13.3,1.19,731.009,2.3,Msini,1.71,0.23,,,0,G1 V,5972.0,2.29,1.38,0.777,3.86,109.055,7.81828,69.49965812228322,0.5559540628711229,No
635,HD 148156 b,HD 148156,1,1,Radial Velocity,2009,1027.0,2.45,13.9,1.24,270.144,0.85,Msini,0.553,0.52,,,0,G0/2 V,6308.0,1.21,1.22,0.25,4.56,57.1289,7.55508,-77.13760082511888,1.837240812864517,No
636,HD 148164 b,HD 148164,1,2,Radial Velocity,2018,328.55,0.993,13.7,1.22,390.9309,1.23,Msini,0.835,0.587,,,0,F8,6032.0,1.34,1.21,0.33,4.16,77.1971,8.0907,36.67847157875707,0.6791242657504593,No
637,HD 148164 c,HD 148164,1,2,Radial Velocity,2018,5062.0,6.15,12.8,1.15,1640.0028,5.16,Msini,4.3,0.125,,,0,F8,6032.0,1.34,1.21,0.33,4.16,77.1971,8.0907,-148.65314202010757,4.2060566307807905,No
638,HD 148427 b,HD 148427,1,1,Radial Velocity,2009,331.5,1.04,13.6,1.22,413.179,1.3,Msini,0.903,0.16,,,0,K0 III/IV,5025.0,3.86,1.64,0.78,3.48,71.3499,6.63542,154.90075320494452,0.4236754889162772,No
639,HD 149026 b,HD 149026,1,1,Radial Velocity,2005,2.87589,0.04364,8.295,0.74,120.7754,0.38,Mass,0.75,0.0,1529.98,1626.0,0,G0,6179.0,1.41,1.42,0.48,4.37,75.8643,8.01416,1279.836202949904,0.02511219886539353,No
640,HD 149143 b,HD 149143,1,1,Radial Velocity,2005,4.07182,0.053,13.6,1.22,422.7139,1.33,Msini,0.923,0.0167,,,0,G0,5856.0,1.44,1.2,0.35,4.25,73.2801,7.74081,1076.5168967890004,0.035422227631136574,No
641,HD 149806 b,HD 149806,1,1,Radial Velocity,2022,16521.52777877,12.278296,12.4,1.1,3878.07724,12.2018,Mass,11.2,0.357139,,,0,K0V,5352.05,0.89,0.93,-0.245,4.51,20.2727,6.86807,-209.43695923458495,16.279388928531002,No
642,HD 150010 b,HD 150010,1,1,Radial Velocity,2022,562.0,1.4,13.3,1.18,762.78818,2.4,Msini,1.78,0.2,,,0,K2 III,4153.0,16.2,1.3,1.982,2.1,144.49,5.86642,351.501284455681,0.1429315277190752,No
643,HD 1502 b,HD 1502,1,1,Radial Velocity,2011,428.5,1.262,13.2,1.18,874.0325,2.75,Msini,2.09,0.031,,,0,K0,4947.0,4.67,1.46,1.064,3.18,190.953,8.10417,147.62786915390677,0.3707313860775452,No
644,HD 150706 b,HD 150706,1,1,Radial Velocity,2012,5894.0,6.7,13.2,1.18,861.28,2.71,Msini,2.06,0.38,,,0,G0 V,5961.0,0.96,1.17,0.032,4.5,28.2697,6.85038,-173.3800961230671,6.457654458280603,No
645,HD 151450 b,HD 151450,1,2,Radial Velocity,2022,21.89287913,0.159926,6.81,0.607,37.24604,0.11719,Msini,0.648,0.49556,,,0,,6091.98,1.17,1.14,0.231,4.36,43.6002,7.28278,455.42468809620436,0.12257984701404255,No
646,HD 151450 c,HD 151450,1,2,Radial Velocity,2022,18144.7623572,14.10056,12.8,1.15,1634.10971,5.14148,Mass,4.28,0.137994,,,0,,6091.98,1.17,1.14,0.231,4.36,43.6002,7.28278,-195.5582698185395,10.807776644275025,No
647,HD 152079 b,HD 152079,1,1,Radial Velocity,2009,2918.92,4.187,13.2,1.18,845.74563,2.661,Msini,2.02,0.532,,,0,G6 V,5907.0,1.13,1.15,0.107,4.37,87.8888,9.01051,-137.46340975051626,3.701714847442475,No
648,HD 152581 b,HD 152581,1,1,Radial Velocity,2011,686.5,1.66,13.4,1.2,594.02427,1.869,Msini,1.36,0.04,,,0,K0,5027.0,5.14,1.3,1.173,3.29,165.76,8.12746,117.97773904617509,0.4301382739448739,No
649,HD 152843 b,HD 152843,1,2,Transit,2021,11.6264,0.1053,3.41,0.304,11.56,0.03637,Mass,1.58,0.14,255.7,,0,G0,6310.0,1.43,1.15,0.45,4.19,107.898,8.76412,755.0211395383275,0.06272322371360481,No
650,HD 152843 c,HD 152843,1,2,Transit,2021,24.38,,5.83,0.52,27.5,0.08652,Mass,0.82,0.115,0.97,253.0,0,G0,6310.0,1.43,1.15,0.45,4.19,107.898,8.76412,,,No
651,HD 15337 b,HD 15337,1,2,Transit,2019,4.75615,0.0522,1.64,0.146,7.51,0.02363,Mass,9.3,0.09,161.73,1001.0,0,K1 V,5125.0,0.86,0.9,-0.326,4.53,44.8155,8.85598,646.6429164610144,0.07597496400637863,No
652,HD 15337 c,HD 15337,1,2,Transit,2019,17.1784,0.1268,2.39,0.213,8.11,0.02552,Mass,3.23,0.05,29.18,642.0,0,K1 V,5125.0,0.86,0.9,-0.326,4.53,44.8155,8.85598,317.00444884528747,0.18455221141779327,No
653,HD 153557 b,HD 153557,1,3,Radial Velocity,2022,7.29902668,0.068049,4.73,0.422,20.05856,0.06311,Msini,1.04,0.065355,,,0,K0,4837.0,0.75,0.79,-0.562,4.59,17.9412,7.50548,436.88222891914245,0.12996360439217394,No
654,HD 153557 c,HD 153557,1,3,Radial Velocity,2022,15.27017677,0.111312,4.33,0.387,17.30766,0.05446,Msini,1.17,0.511322,,,0,K0,4837.0,0.75,0.79,-0.562,4.59,17.9412,7.50548,282.0097133858965,0.2125895859175251,No
655,HD 153557 d,HD 153557,1,3,Radial Velocity,2022,40654.64809444,21.349779,11.9,1.06,8680.48112,27.31185,Mass,28.3,0.151517,,,0,K0,4837.0,0.75,0.79,-0.562,4.59,17.9412,7.50548,-233.0640441356153,40.77494499281905,No
656,HD 153950 b,HD 153950,1,1,Radial Velocity,2008,499.39999,1.28,13.2,1.17,937.5985,2.95,Msini,2.24,0.34,,,0,F8 V,6124.0,1.28,1.25,0.346,4.32,48.4549,7.23813,-2.3694919004511803,0.8594289317452191,No
657,HD 154088 b,HD 154088,1,1,Radial Velocity,2021,18.56,0.134,2.46,0.219,6.6,0.02077,Msini,2.44,0.344,,,0,K0 IV-V,5374.0,0.95,0.91,-0.131,4.37,18.2692,6.36693,359.53754103315043,0.15581339783444953,No
658,HD 154345 b,HD 154345,1,1,Radial Velocity,2006,3341.55884,4.21,13.9,1.24,260.6206,0.82,Msini,0.533,0.04,,,0,G8V,5468.0,0.85,0.71,-0.219,4.43,18.284,6.56771,-164.51265641602475,5.41729013525492,No
659,HD 154672 b,HD 154672,1,1,Radial Velocity,2008,163.94,0.6,12.8,1.14,1706.7471,5.37,Msini,4.47,0.61,,,0,G3 IV,5743.0,1.32,1.18,0.257,4.27,63.0484,8.03732,103.49514482135783,0.44632503774454013,No
660,HD 154857 b,HD 154857,1,2,Radial Velocity,2004,408.60001,1.29,13.3,1.18,778.6835,2.45,Msini,1.82,0.46,,,0,G5 V,5589.0,2.3,1.96,0.663,4.01,63.4482,7.04837,56.828306449369904,0.6012979321224343,No
661,HD 154857 c,HD 154857,1,2,Radial Velocity,2014,3452.0,5.36,13.2,1.18,819.97,2.58,Msini,1.96,0.06,,,0,G5 V,5605.0,1.76,1.72,0.665,3.82,63.4482,7.04837,-131.13579963000245,2.49267001625301,No
662,HD 155193 b,HD 155193,1,1,Radial Velocity,2021,352.65,1.04,14.0,1.25,238.37131,0.75,Msini,0.477,0.21,,,0,F8 IV,6239.0,1.76,1.22,0.641,4.26,57.7995,6.86686,85.71976201893574,0.49720254079508336,No
663,HD 155233 b,HD 155233,2,1,Radial Velocity,2015,818.8,2.0,13.2,1.18,826.358,2.6,Msini,1.97,0.04,,,0,K1 III,4960.0,5.03,1.69,1.129,3.17,74.2309,6.5449,74.65265104314165,0.5451675477857064,No
664,HD 155358 b,HD 155358,1,2,Radial Velocity,2007,194.3,0.63,13.8,1.23,314.6517,0.99,Msini,0.658,0.17,,,0,G0,5905.0,1.38,1.15,0.299,4.22,43.6197,7.12074,113.28049140603406,0.446519623064245,No
665,HD 155358 c,HD 155358,1,2,Radial Velocity,2007,391.9,1.02,13.9,1.24,261.0,0.82,Msini,0.534,0.16,,,0,G0,5900.0,1.38,0.92,0.299,4.16,43.6197,7.12074,30.29059813139736,0.7229365325802062,No
666,HD 155918 b,HD 155918,1,2,Radial Velocity,2022,1.87567261,0.030046,2.65,0.236,7.50192,0.0236,Msini,2.22,-0.079533,,,0,G2V,5771.84,1.02,1.03,0.016,4.43,27.561,6.8406,1213.823588969904,0.029497598695978452,No
667,HD 155918 c,HD 155918,1,2,Radial Velocity,2022,17202.19446178,13.125939,12.8,1.14,1849.85628,5.8203,Mass,4.85,0.07103,,,0,G2V,5771.84,1.02,1.03,0.016,4.43,27.561,6.8406,-202.00712766887267,12.886363613455792,No
668,HD 156098 b,HD 156098,1,2,Radial Velocity,2022,21.85848995,0.166479,4.31,0.384,17.14419,0.05394,Msini,1.18,0.108643,,,0,,6419.19,2.76,1.29,1.066,3.67,48.249,5.41159,882.529099263361,0.048793217657602805,No
669,HD 156098 c,HD 156098,1,2,Radial Velocity,2022,7841.58389773,8.301568,12.8,1.14,1661.50392,5.22768,Mass,4.35,0.391098,,,0,,6419.19,2.76,1.29,1.066,3.67,48.249,5.41159,-109.49211910985488,2.4331009576186213,No
670,HD 156279 b,HD 156279,1,2,Radial Velocity,2011,133.40355381,0.501896,12.5,1.12,2995.22334,9.42403,Msini,8.43,0.647243,,,0,G6,5453.0,0.95,0.94,-0.146,4.46,36.1945,7.86569,58.57075861144921,0.5937638246522372,No
671,HD 156279 c,HD 156279,1,2,Radial Velocity,2018,4818.25358194,5.484633,12.5,1.11,3207.01405,10.09039,Mass,9.02,0.260544,,,0,G6,5458.24,0.97,0.94,-0.146,4.45,36.1945,7.86569,-171.6544677207579,6.488548756901577,No
672,HD 156411 b,HD 156411,1,1,Radial Velocity,2009,842.2,1.88,14.0,1.25,235.18,0.74,Msini,0.471,0.22,,,0,F8 IV/V,5900.0,2.16,1.25,0.731,4.07,56.8655,6.5121,6.478980553860708,0.8103224090493917,No
673,HD 156668 b,HD 156668,1,2,Radial Velocity,2010,4.6455,0.05,1.87,0.167,4.15,0.013,Msini,3.49,0.0,,,0,K2,4850.0,0.72,0.77,0.23,4.6,24.3323,8.10753,540.6266071441005,0.03836807446809095,No
674,HD 156668 c,HD 156668,1,2,Radial Velocity,2021,811.3,1.57,6.17,0.55,31.4968,0.0991,Msini,0.737,0.089,,,0,K2,4903.69,0.77,0.79,-0.537,4.55,24.3323,8.10753,-121.3049075011977,2.9133968908107133,No
675,HD 156846 b,HD 156846,2,1,Radial Velocity,2007,359.51001,1.12,12.4,1.11,3391.2461,10.67,Msini,9.77,0.85,,,0,G0 V,6090.0,1.9,1.38,0.697,4.02,47.7332,6.3623,77.57546409674842,0.5020165359962149,No
676,HD 158038 b,HD 158038,1,1,Radial Velocity,2011,521.0,1.5,13.5,1.21,486.2799,1.53,Msini,1.09,0.29,,,0,K0,4860.0,4.5,1.3,1.076,3.24,94.8625,7.2068,99.05235221371476,0.4346015381551985,No
677,HD 158259 b,HD 158259,1,5,Radial Velocity,2020,2.178,,1.285,0.115,2.22,0.00698,Msini,6.12,,802.73,1482.0,0,G0,5801.89,1.21,1.08,0.212,4.25,27.0498,6.30694,,,No
678,HD 158259 c,HD 158259,1,5,Radial Velocity,2020,3.432,,2.23,0.199,5.6,0.01762,Msini,2.77,,,,0,G0,5801.89,1.21,1.08,0.212,4.25,27.0498,6.30694,,,No
679,HD 158259 d,HD 158259,1,5,Radial Velocity,2020,5.1980814,,2.18,0.195,5.41,0.01702,Msini,2.87,,,,0,G0,5801.89,1.21,1.08,0.212,4.25,27.0498,6.30694,,,No
680,HD 158259 e,HD 158259,1,5,Radial Velocity,2020,7.951,,2.34,0.209,6.08,0.01913,Msini,2.61,,,,0,G0,5801.89,1.21,1.08,0.212,4.25,27.0498,6.30694,,,No
681,HD 158259 f,HD 158259,1,5,Radial Velocity,2020,12.028,,2.35,0.21,6.14,0.01932,Msini,2.6,,,,0,G0,5801.89,1.21,1.08,0.212,4.25,27.0498,6.30694,,,No
682,HD 158996 b,HD 158996,1,1,Radial Velocity,2018,820.2,2.1,12.3,1.1,4449.62,14.0,Msini,13.1,0.13,,,0,K5 III,4069.0,50.3,1.8,3.015,1.4,283.659,5.18609,607.3801919562375,0.06527085395752898,No
683,HD 159243 b,HD 159243,1,2,Radial Velocity,2013,12.62,0.11,13.7,1.22,359.13,1.13,Msini,0.767,0.02,,,0,G0 V,6123.0,1.12,1.12,0.114,4.55,73.3055,8.51188,590.741388755528,0.09647009032579983,No
684,HD 159243 c,HD 159243,1,2,Radial Velocity,2013,248.4,0.8,13.4,1.2,603.9,1.9,Msini,1.38,0.075,,,0,G0 V,6123.0,1.12,1.12,0.114,4.55,73.3055,8.51188,47.1895005151859,0.7016006569149079,No
685,HD 159868 b,HD 159868,1,2,Radial Velocity,2006,1184.1,2.32,13.3,1.19,704.94694,2.218,Msini,1.65,0.024,,,0,G5 V,5534.0,2.13,1.19,0.556,3.92,55.8503,7.04579,-38.69085286035346,1.2231732785009486,No
686,HD 159868 c,HD 159868,1,2,Radial Velocity,2012,351.0,1.032,14.0,1.25,244.09344,0.768,Msini,0.489,0.184,,,0,G5 V,5534.0,2.13,1.19,0.555,3.92,55.8503,7.04579,78.38722868404352,0.5447279973985872,No
687,HD 1605 b,HD 1605,1,2,Radial Velocity,2015,577.2,1.492,13.8,1.23,296.85322,0.934,Msini,0.621,0.095,,,0,K1 IV,4915.0,3.49,1.33,0.81,3.4,88.8047,7.25688,59.22935512203094,0.5871767125800199,No
688,HD 1605 c,HD 1605,1,2,Radial Velocity,2015,2149.0,3.584,13.0,1.16,1150.5446,3.62,Msini,2.88,0.099,,,0,K1 IV,4915.0,3.49,1.33,0.81,3.4,88.8047,7.25688,-58.695851449024076,1.4104834704335063,No
689,HD 160691 b,HD 160691,1,4,Radial Velocity,2000,645.0,1.5,,,1366.66215,4.3,Mass,,0.128,,,0,G3 IV-V,5773.0,1.33,1.13,0.278,4.2,15.5981,4.94916,-32.789020440876186,1.089158936152732,No
690,HD 160691 c,HD 160691,1,4,Radial Velocity,2004,3947.0,4.17,,,1398.44499,4.4,Mass,,0.0985,,,0,G3 IV-V,5773.0,1.33,1.13,0.278,4.2,15.5981,4.94916,-128.99106431069734,3.0278618425045956,No
691,HD 160691 d,HD 160691,1,4,Radial Velocity,2004,9.6392,0.09286,3.17,0.283,10.17,0.032,Msini,1.75,0.0,,900.0,0,G3 IV-V,5773.0,1.33,1.13,0.278,4.2,15.5981,4.94916,692.8903244612327,0.06742619920742847,No
692,HD 160691 e,HD 160691,1,4,Radial Velocity,2006,307.9,0.934,,,2224.79885,7.0,Mass,,0.0666,,,0,G3 IV-V,5773.0,1.33,1.13,0.278,4.2,15.5981,4.94916,31.454388955256945,0.6781829642444346,No
693,HD 161178 b,HD 161178,1,1,Radial Velocity,2021,279.3,0.85,14.1,1.26,181.16219,0.57,Msini,0.355,0.044,,,0,G9 III,4786.0,10.95,1.06,1.751,2.38,107.188,5.59958,486.39324870284054,0.11321889859661881,No
694,HD 16141 b,HD 16141,2,1,Radial Velocity,2000,75.523,0.36,10.9,0.971,82.6358,0.26,Msini,0.351,0.25,,,0,G5 IV,5757.0,1.48,1.11,0.366,4.14,37.7861,6.65773,242.97875267623306,0.23621229586904594,No
695,HD 16175 b,HD 16175,1,1,Radial Velocity,2009,990.0,2.12,12.8,1.15,1620.933,5.1,Msini,4.25,0.6,,,0,G0,5981.0,1.72,1.63,0.508,4.18,59.859,7.1291,-34.94421073802724,1.1812337877356913,No
696,HD 162020 b,HD 162020,1,1,Radial Velocity,2002,8.4282,0.08,12.5,1.11,3127.4472,9.84,Msini,8.8,0.28,,650.0,0,K3 V,4723.0,0.75,0.42,-0.602,4.31,30.8248,8.75949,366.2693881267936,0.15998894957061954,No
697,HD 163607 b,HD 163607,1,2,Radial Velocity,2010,75.2203,0.362,13.9,1.24,249.05159,0.7836,Msini,0.51,0.7441,,,0,G5,5522.0,1.76,1.12,0.42,3.97,67.7855,7.81298,265.2197723697029,0.22320739067385653,No
698,HD 163607 c,HD 163607,1,2,Radial Velocity,2010,1272.0,2.39,13.3,1.19,699.54383,2.201,Msini,1.63,0.08,,,0,G5,5522.0,1.76,1.12,0.42,3.97,67.7855,7.81298,-63.624926084707624,1.4736620544489425,No
699,HD 16417 b,HD 16417,2,1,Radial Velocity,2008,17.24,0.14,5.0,0.446,22.1,0.0696,Msini,0.972,0.2,,,0,G1 V,5841.0,1.64,1.2,0.443,4.16,25.3936,5.61319,610.7992450272563,0.08406748124705647,No
700,HD 164509 b,HD 164509,2,1,Radial Velocity,2010,280.17,0.87,14.3,1.28,140.79869,0.443,Msini,0.265,0.238,,,0,G5,5859.0,1.11,1.12,0.12,4.44,53.1119,7.95594,19.47240670424776,0.7577383232617902,No
701,HD 164595 b,HD 164595,2,1,Radial Velocity,2015,40.0,0.23,4.16,0.371,16.14,0.05078,Msini,1.23,0.088,,,0,G2 V,5790.0,1.02,0.99,0.017,4.44,28.254,6.89472,265.98428219158495,0.2255422122940534,No
702,HD 164604 b,HD 164604,1,1,Radial Velocity,2009,641.472,1.331,13.4,1.19,635.0,1.99792,Msini,1.45,0.35,,,0,K3.5 V,4684.0,0.77,0.77,-0.588,4.62,39.3633,9.32786,-115.62284191905357,2.61925665159981,No
703,HD 164922 b,HD 164922,1,4,Radial Velocity,2005,1207.0,2.16,13.3,1.19,116.0,0.36497,Msini,0.271,0.08,0.16,159.0,0,G9 V,5390.0,0.95,0.93,-0.149,4.46,22.0016,6.78614,-115.09584798514211,2.5642109542541736,No
704,HD 164922 c,HD 164922,1,4,Radial Velocity,2016,75.74,0.341,3.66,0.327,13.0,0.0409,Msini,1.46,0.12,6.29,400.0,0,G9 V,5390.0,0.95,0.93,-0.149,4.46,22.0016,6.78614,124.64158815274499,0.4048129330558672,No
705,HD 164922 d,HD 164922,1,4,Radial Velocity,2020,12.458,0.103,1.83,0.163,4.0,0.01259,Msini,3.59,0.12,,,0,G9 V,5390.0,0.95,0.93,-0.149,4.46,22.0016,6.78614,450.6426561256951,0.12227487420749067,No
706,HD 164922 e,HD 164922,1,4,Radial Velocity,2021,41.763,0.2292,3.23,0.288,10.52012,0.0331,Msini,1.72,0.086,,,0,G9 V,5393.43,1.0,0.92,-0.14,4.4,22.0016,6.78614,224.97685571297103,0.26928651959214017,No
707,HD 165155 b,HD 165155,1,1,Radial Velocity,2016,434.5,1.13,13.2,1.18,918.5287,2.89,Msini,2.19,0.2,,,0,G8 V,5426.0,0.95,1.02,-0.155,4.49,63.3574,9.21413,-53.16929622763453,1.3507607840113018,No
708,HD 1666 b,HD 1666,1,1,Radial Velocity,2015,270.0,0.94,12.7,1.13,2040.0,6.43,Msini,5.47,0.63,,,0,F7 V,6317.0,1.93,1.5,0.73,4.06,117.908,8.05121,127.07832507070435,0.40562793221809934,No
709,HD 166724 b,HD 166724,1,1,Radial Velocity,2012,5144.0,5.42,13.1,1.16,1121.89,3.53,Msini,2.74,0.734,,,0,K0 IV-V,5127.0,0.8,0.81,-0.509,4.43,45.1342,9.06863,-186.05546907599742,9.73866185454034,No
710,HD 167042 b,HD 167042,1,1,Radial Velocity,2007,420.77,1.32,13.5,1.2,540.29,1.7,Msini,1.21,0.089,,,0,K1 IV,5010.0,4.3,1.72,1.023,3.29,49.6633,5.72384,126.67247650032516,0.4065125250783158,No
711,HD 167768 b,HD 167768,1,1,Radial Velocity,2022,20.6532,0.1512,13.9,1.24,270.15415,0.85,Msini,0.553,0.149,,,0,G8 III,4851.0,9.7,1.08,1.669,2.5,107.214,5.7545,1444.8512005234452,0.02213358644776534,No
712,HD 168009 b,HD 168009,1,1,Radial Velocity,2021,15.1479,0.1192,3.05,0.272,9.53485,0.03,Msini,1.85,0.12,,,0,G2V,5778.33,1.21,0.99,0.15,4.27,23.3032,6.14052,540.8775716868117,0.10029430088410725,No
