,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,sy_dist,sy_gaiamag,calc_temp,distance,have_life
14,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,,156.0,16.141,1.44,4417.837,13.9,Mass,5.77,,,,0,M6,3064.0,0.28,0.11,-2.23,4.59,40.0896412,15.0123,-267.41031981404717,2032.940174385587,No
15,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,,15.0,12.6,1.13,2383.6,7.5,Mass,6.55,,,,0,M8.5,2936.0,0.23,0.02,-2.444,5.01,120.423987,18.9668,-257.0747936479649,250.0870818826594,No
16,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,,55.0,12.9,1.15,1589.15,5.0,Mass,4.07,,,1250.0,0,M8,2825.0,0.22,0.02,-2.561,5.03,64.308,17.4076,-265.24993499937426,1049.2106481945375,No
17,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,406.0,0.92,13.4,1.2,603.877,1.9,Mass,1.38,0.33,,,0,,29564.0,0.2,0.48,1.45,5.51,396.332,12.1376,336.3398738224363,0.17329571623306167,No
18,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,,230.0,12.3,1.1,3972.875,12.5,Mass,11.7,,,,0,K7 V,4045.0,0.64,0.6,-1.021,4.62,69.5737,11.9484,-263.7153278830712,745.1227716001426,No
19,30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,335.10001,0.99,12.3,1.1,4392.4106,13.82,Msini,13.0,0.29,,,0,F6 V,6331.0,1.41,1.93,0.381,4.43,44.657,6.96085,60.92693253452239,0.6384622066694247,No
20,4 UMa b,4 UMa,1,1,Radial Velocity,2006,269.3,0.87,12.7,1.13,2256.5,7.1,Msini,6.05,0.432,,,0,K1 III,4415.0,18.11,1.23,2.062,1.8,73.4603,4.23773,617.5111796256354,0.08100638516570124,No
21,42 Dra b,42 Dra,2,1,Radial Velocity,2008,479.1,1.19,13.0,1.16,1233.13,3.88,Msini,3.08,0.38,,,0,K1.5 III,4200.0,22.03,0.98,2.155,1.71,90.6545,4.43216,525.8840285906184,0.09955130589494142,No
22,47 UMa b,47 UMa,1,3,Radial Velocity,1996,1078.0,2.1,13.2,1.18,804.08,2.53,Msini,1.92,0.032,,,0,G0 V,5872.0,1.21,1.06,0.198,4.3,13.7967,4.87837,-76.06603022187463,1.6719346358763694,No
23,47 UMa c,47 UMa,1,3,Radial Velocity,2001,2391.0,3.6,14.2,1.27,171.621,0.54,Msini,0.329,0.098,,,0,G1 V,5872.0,1.21,1.06,0.198,4.3,13.7967,4.87837,-122.6246317048919,2.8661736615023474,No
24,47 UMa d,47 UMa,1,3,Radial Velocity,2009,14002.0,11.6,13.5,1.2,521.22,1.64,Msini,1.16,0.16,,,0,G0V,5872.0,1.21,1.06,0.198,4.3,13.7967,4.87837,-189.29442249064385,9.235448464840896,No
25,51 Eri b,51 Eri,3,1,Imaging,2015,11688.0,13.2,13.4,1.19,635.66,2.0,Mass,1.45,0.45,,700.0,0,F0 IV,7295.0,1.49,1.75,0.85,4.31,29.7575,5.15806,-164.77885008833425,4.961053736607463,No
26,51 Peg b,51 Peg,1,1,Radial Velocity,1995,4.230785,0.0527,14.3,1.27,146.2018,0.46,Mass,0.275,0.013,,,0,G5V,5758.0,1.18,1.03,0.136,4.31,15.4614,5.28647,931.5795788472386,0.04506201576902281,No
27,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,14.6516,0.1134,13.9,1.24,263.9785,0.8306,Mass,0.54,0.0,,700.0,0,K0 IV-V,5172.0,0.94,0.91,-0.197,4.43,12.5855,5.72973,385.262598756697,0.14226990927309688,No
